customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_fiber optic,InternetService_no,Contract_one year,Contract_two year,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check
0292-wegch,1,0,1,1,0.7464788732394366,1,1,0,1,1,1,1,1,1,0.6761194029850747,0.5198765289637665,0,0,0,0,0,0,1,0
7611-ykytc,0,0,1,1,0.295774647887324,1,0,1,0,0,0,0,0,0,0.5646766169154228,0.1794541887837526,0,1,0,0,0,0,0,0
3487-earat,1,0,1,1,0.971830985915493,1,0,1,1,1,1,0,1,0,0.5557213930348258,0.6004500346180476,0,0,0,1,0,1,0,0
1960-uycnn,0,0,0,0,0.1267605633802817,1,1,0,1,1,0,0,1,1,0.7661691542288557,0.11571082390953151,0,1,0,0,0,0,1,0
6732-fzugp,1,0,0,0,0.647887323943662,1,1,1,0,1,0,1,0,0,0.7626865671641792,0.5304004154165705,0,1,0,1,0,1,0,0
4654-dlamq,1,1,1,0,0.8873239436619719,1,0,1,1,1,0,0,1,0,0.7835820895522387,0.7399146088160627,0,1,0,1,0,0,0,0
8746-oqqrw,0,0,0,0,0.04225352112676056,1,1,0,0,0,0,0,0,0,0.06965174129353235,0.00958919916916686,0,0,1,0,0,0,0,1
2521-npuzr,0,0,1,0,0.971830985915493,1,0,1,1,1,1,0,1,0,0.8233830845771145,0.8154511885529656,0,1,0,0,1,1,0,0
1686-stuhn,0,0,0,0,0.5774647887323944,1,0,0,0,0,0,0,0,0,0.015422885572139305,0.0959035310408493,0,0,1,1,0,0,0,0
8949-jtmay,1,0,0,0,0.3943661971830986,1,1,0,0,1,0,1,1,1,0.799502487562189,0.3363027925225017,1,1,0,0,0,1,0,0
7398-lxgyx,0,0,1,0,0.6056338028169015,1,1,1,0,1,0,0,0,1,0.6621890547263681,0.4162877913685668,0,1,0,0,0,1,0,0
2718-gaxqd,1,1,1,1,0.04225352112676056,1,0,0,0,0,0,0,0,0,0.2761194029850746,0.018786060466189705,1,0,0,0,0,0,1,0
7596-iiwyc,1,0,0,0,0.36619718309859156,1,0,0,0,0,0,0,0,1,0.019900497512437804,0.059935379644588054,0,0,1,0,1,0,0,0
8350-nymvi,1,0,0,0,0.5352112676056339,0,0,0,1,1,1,0,0,0,0.227363184079602,0.18211977844449573,0,0,0,0,0,0,0,0
6300-bwmjx,1,0,1,0,0.8169014084507042,1,1,0,0,1,1,1,0,0,0.7472636815920397,0.6193976459727671,0,1,0,0,0,0,1,0
7861-uvuft,1,0,1,0,0.19718309859154928,1,0,0,0,1,0,1,0,1,0.6572139303482587,0.14881144703438728,1,1,0,0,0,0,1,0
4255-dduou,1,0,1,1,0.0,1,0,0,0,0,0,0,0,1,0.02238805970149252,0.00019616893607200554,1,0,1,0,0,0,0,1
5740-yhgtw,0,0,1,1,0.971830985915493,1,1,1,1,0,0,1,0,1,0.7890547263681591,0.7673955688899147,0,1,0,0,0,1,0,0
4587-vvtox,1,0,1,0,0.07042253521126761,1,1,0,1,1,0,1,1,1,0.8661691542288558,0.060743134087237485,1,1,0,0,0,0,1,0
7798-jvxym,1,0,0,0,0.18309859154929578,1,0,0,0,0,1,1,1,1,0.5114427860696518,0.10415416570505424,0,0,0,0,0,0,1,0
9306-cpcbc,1,0,0,0,0.02816901408450704,1,1,0,0,0,0,0,0,1,0.5572139303482587,0.02209785368105239,1,1,0,0,0,0,1,0
9919-ylnng,1,0,0,0,0.5774647887323944,1,0,0,1,1,1,1,1,1,0.8512437810945274,0.4971959381490884,0,1,0,0,0,0,0,0
5533-rjftj,0,0,0,0,0.676056338028169,0,0,0,0,1,0,0,0,1,0.11890547263681589,0.16550888529886915,0,0,0,0,0,0,0,0
5893-kclgt,1,0,0,1,1.0,1,0,0,0,0,0,0,0,1,0.014925373134328346,0.17865220401569354,0,0,1,0,1,0,0,1
1928-bxyiv,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0.426865671641791,0.004886914378029079,0,0,0,0,0,0,1,0
2458-eomre,1,0,0,0,0.14084507042253522,1,0,1,0,1,0,0,1,0,0.45572139303482584,0.08252365566582046,0,0,0,0,0,0,0,0
6380-arceh,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.0001615508885298867,0,0,1,0,0,0,0,1
6719-fgedo,1,0,1,0,1.0,1,1,1,1,1,1,0,0,1,0.7835820895522387,0.8176090468497577,0,1,0,0,1,0,0,0
4625-xmoym,1,0,1,1,1.0,1,1,0,0,0,0,0,0,1,0.07960199004975121,0.22723863374105702,0,0,1,0,1,0,0,0
3164-yaxfy,0,0,0,0,0.7887323943661972,0,0,1,0,1,0,1,1,1,0.3532338308457711,0.3666282021693976,0,0,0,0,0,0,1,0
7083-ynsky,1,0,0,0,0.19718309859154928,1,1,0,0,0,0,0,0,1,0.07114427860696515,0.04394184168012925,1,0,1,0,0,1,0,0
0057-qbuqh,1,0,0,1,0.5915492957746479,1,1,0,0,0,0,0,0,1,0.0681592039800995,0.12131894761135474,0,0,1,0,1,0,1,0
4881-jvqod,0,1,1,1,0.1267605633802817,0,0,0,0,0,0,0,1,1,0.16218905472636813,0.03967228248326795,0,0,0,0,0,0,0,0
