customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_fiber optic,InternetService_no,Contract_one year,Contract_two year,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check,sentiment_category,final_sentiment_score,topic,topic_prob
0292-wegch,1,0,1,1,0.7464788732394366,1,1,0,1,1,1,1,1,1,0.6761194029850747,0.5198765289637665,0,0,0,0,0,0,1,0,Very Positive,0.6141893267631531,-1 internet service provider overall,0.0
7611-ykytc,0,0,1,1,0.295774647887324,1,0,1,0,0,0,0,0,0,0.5646766169154228,0.1794541887837526,0,1,0,0,0,0,0,0,Very Positive,0.6871127147674561,Transfer bank quality fast,1.0
3487-earat,1,0,1,1,0.971830985915493,1,0,1,1,1,1,0,1,0,0.5557213930348258,0.6004500346180476,0,0,0,1,0,1,0,0,Very Positive,0.9335060894966124,Card credit payments dsl,1.0
1960-uycnn,0,0,0,0,0.1267605633802817,1,1,0,1,1,0,0,1,1,0.7661691542288557,0.1157108239095315,0,1,0,0,0,0,1,0,Very Positive,0.93334439868927,Flexibility monthtomonth fast happy,0.719140446806033
6732-fzugp,1,0,0,0,0.647887323943662,1,1,1,0,1,0,1,0,0,0.7626865671641792,0.5304004154165705,0,1,0,1,0,1,0,0,Very Positive,0.9335243451118468,Credit card extremely fast,1.0
4654-dlamq,1,1,1,0,0.8873239436619719,1,0,1,1,1,0,0,1,0,0.7835820895522387,0.7399146088160627,0,1,0,1,0,0,0,0,Very Positive,0.7949090346813201,Transfer bank extremely highly,1.0
8746-oqqrw,0,0,0,0,0.0422535211267605,1,1,0,0,0,0,0,0,0,0.0696517412935323,0.0095891991691668,0,0,1,0,0,0,0,1,Very Positive,0.8970084557533264,Far mail monthtomonth flexibility,0.6071200807520839
2521-npuzr,0,0,1,0,0.971830985915493,1,0,1,1,1,1,0,1,0,0.8233830845771145,0.8154511885529656,0,1,0,0,1,1,0,0,Very Positive,0.9415733382701874,Loyal credit card hassle,1.0
1686-stuhn,0,0,0,0,0.5774647887323944,1,0,0,0,0,0,0,0,0,0.0154228855721393,0.0959035310408493,0,0,1,1,0,0,0,0,Very Positive,0.8970111589431763,Transfer bank though even,1.0
8949-jtmay,1,0,0,0,0.3943661971830986,1,1,0,0,1,0,1,1,1,0.799502487562189,0.3363027925225017,1,1,0,0,0,1,0,0,Negative,-0.2441561672210693,Better deal decide ultimately,1.0
7398-lxgyx,0,0,1,0,0.6056338028169015,1,1,1,0,1,0,0,0,1,0.6621890547263681,0.4162877913685668,0,1,0,0,0,1,0,0,Very Positive,0.8763290166378022,Card credit quality fast,0.2155535828911805
2718-gaxqd,1,1,1,1,0.0422535211267605,1,0,0,0,0,0,0,0,0,0.2761194029850746,0.0187860604661897,1,0,0,0,0,0,1,0,Very Negative,-0.770830961227417,Decide different recently cancel,1.0
7596-iiwyc,1,0,0,0,0.3661971830985915,1,0,0,0,0,0,0,0,1,0.0199004975124378,0.059935379644588,0,0,1,0,1,0,0,0,Very Positive,0.8535354874610901,Though even bank transfer,0.9577140414120412
8350-nymvi,1,0,0,0,0.5352112676056339,0,0,0,1,1,1,0,0,0,0.227363184079602,0.1821197784444957,0,0,0,0,0,0,0,0,Very Positive,0.9317021091938018,Transfer bank dsl years,1.0
6300-bwmjx,1,0,1,0,0.8169014084507042,1,1,0,0,1,1,1,0,0,0.7472636815920397,0.6193976459727671,0,1,0,0,0,0,1,0,Very Positive,0.9713270884513856,-1 internet service provider overall,0.0
7861-uvuft,1,0,1,0,0.1971830985915492,1,0,0,0,1,0,1,0,1,0.6572139303482587,0.1488114470343872,1,1,0,0,0,0,1,0,Negative,-0.3881154165267944,Cancel ultimately decide recently,1.0
4255-dduou,1,0,1,1,0.0,1,0,0,0,0,0,0,0,1,0.0223880597014925,0.000196168936072,1,0,1,0,0,0,0,1,Very Negative,-0.9617542368412018,Sign disappoint area unfortunately,0.3824765402863417
5740-yhgtw,0,0,1,1,0.971830985915493,1,1,1,1,0,0,1,0,1,0.7890547263681591,0.7673955688899147,0,1,0,0,0,1,0,0,Very Positive,0.9795168862342836,Loyal credit card hassle,1.0
4587-vvtox,1,0,1,0,0.0704225352112676,1,1,0,1,1,0,1,1,1,0.8661691542288558,0.0607431340872374,1,1,0,0,0,0,1,0,Neutral,-0.072605248260498,Cancel ultimately decide recently,1.0
7798-jvxym,1,0,0,0,0.1830985915492957,1,0,0,0,0,1,1,1,1,0.5114427860696518,0.1041541657050542,0,0,0,0,0,0,1,0,Negative,-0.5252962007522584,Monthtomonth dsl contract check,1.0
9306-cpcbc,1,0,0,0,0.028169014084507,1,1,0,0,0,0,0,0,1,0.5572139303482587,0.0220978536810523,1,1,0,0,0,0,1,0,Negative,-0.5825310423374176,Cancel ultimately decide recently,1.0
9919-ylnng,1,0,0,0,0.5774647887323944,1,0,0,1,1,1,1,1,1,0.8512437810945274,0.4971959381490884,0,1,0,0,0,0,0,0,Very Positive,0.6740252552986146,Transfer bank quality fast,1.0
5533-rjftj,0,0,0,0,0.676056338028169,0,0,0,0,1,0,0,0,1,0.1189054726368158,0.1655088852988691,0,0,0,0,0,0,0,0,Very Positive,0.8881486238479614,Transfer bank dsl years,1.0
5893-kclgt,1,0,0,1,1.0,1,0,0,0,0,0,0,0,1,0.0149253731343283,0.1786522040156935,0,0,1,0,1,0,0,1,Very Positive,0.945407317829132,Wish option however include,1.0
1928-bxyiv,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0.426865671641791,0.004886914378029,0,0,0,0,0,0,1,0,Very Positive,0.8974892146110535,Past use quite reliability,0.7177411501403315
2458-eomre,1,0,0,0,0.1408450704225352,1,0,1,0,1,0,0,1,0,0.4557213930348258,0.0825236556658204,0,0,0,0,0,0,0,0,Very Positive,0.8522299073219299,Look ensure reliability provider,0.7306344534164211
6380-arceh,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0194029850746268,0.0001615508885298,0,0,1,0,0,0,0,1,Very Positive,0.865234363603592,Sign disappoint area unfortunately,0.1087794733173575
6719-fgedo,1,0,1,0,1.0,1,1,1,1,1,1,0,0,1,0.7835820895522387,0.8176090468497577,0,1,0,0,1,0,0,0,Very Positive,0.8284997446537018,Transfer bank extremely highly,0.8778866394792338
4625-xmoym,1,0,1,1,1.0,1,1,0,0,0,0,0,0,1,0.0796019900497512,0.227238633741057,0,0,1,0,1,0,0,0,Very Positive,0.9265520409584044,Though even bank transfer,1.0
3164-yaxfy,0,0,0,0,0.7887323943661972,0,0,1,0,1,0,1,1,1,0.3532338308457711,0.3666282021693976,0,0,0,0,0,0,1,0,Very Positive,0.9561979712486268,-1 internet service provider overall,0.0
7083-ynsky,1,0,0,0,0.1971830985915492,1,1,0,0,0,0,0,0,1,0.0711442786069651,0.0439418416801292,1,0,1,0,0,1,0,0,Negative,-0.5247282786846161,Decide different recently cancel,1.0
0057-qbuqh,1,0,0,1,0.5915492957746479,1,1,0,0,0,0,0,0,1,0.0681592039800995,0.1213189476113547,0,0,1,0,1,0,1,0,Very Positive,0.8735584714889526,Package part wish offer,0.5792247801913445
4881-jvqod,0,1,1,1,0.1267605633802817,0,0,0,0,0,0,0,1,1,0.1621890547263681,0.0396722824832679,0,0,0,0,0,0,0,0,Very Positive,0.8683944364547729,Transfer bank dsl automatic,1.0
4316-xcslj,0,0,0,1,0.2253521126760563,1,0,1,0,0,0,0,0,1,0.3189054726368159,0.0955458112162474,0,0,0,0,0,0,0,1,Very Positive,0.9078574966430664,Flexibility need monthtomonth give,0.8557412795267572
0186-caerr,0,0,0,0,0.9859154929577464,1,1,1,1,1,1,1,1,1,0.9756218905472636,0.9566985921994,0,1,0,1,0,0,0,0,Very Positive,0.970020296907425,-1 internet service provider overall,0.0
5233-geeax,0,1,0,0,0.0985915492957746,0,0,0,0,1,0,0,0,1,0.1109452736318407,0.0234364181860143,1,0,0,0,0,0,1,0,Very Negative,-0.8350044752597809,Decide different recently cancel,1.0
4657-fwvfy,1,0,1,1,0.5492957746478874,1,1,0,1,1,0,1,0,1,0.7771144278606964,0.4496422801753981,0,1,0,0,0,1,0,0,Very Positive,0.9591289958000184,Card credit quality fast,0.1032158522716685
4140-wjaww,1,0,0,0,0.056338028169014,1,0,0,0,0,0,0,0,0,0.0159203980099502,0.0102988691437802,1,0,1,0,0,1,0,0,Negative,-0.4113988570213318,Decide different recently cancel,1.0
3317-vlgqt,1,0,1,0,0.1830985915492957,1,0,0,0,0,0,0,1,1,0.5955223880597014,0.1273482575582737,0,1,0,0,0,0,1,0,Very Positive,0.8625354082107544,Quality plan no receive,1.0
3256-ezdbi,0,1,1,0,0.7042253521126761,0,0,0,1,0,0,0,0,1,0.1114427860696517,0.1662300946226632,0,0,0,0,0,1,0,0,Very Positive,0.9546059023857116,Card credit payments dsl,1.0
9068-fhqhd,1,0,1,1,0.5492957746478874,1,0,0,0,0,0,0,0,0,0.0189054726368158,0.0875317332102469,0,0,1,0,1,0,0,0,Very Positive,0.823968944978714,Transfer bank though even,1.0
2176-lvpnx,1,1,0,0,0.9859154929577464,1,1,1,1,1,1,1,1,0,0.7124378109452736,0.7240537733671821,0,0,0,0,1,0,0,1,Positive,0.5426251850128174,Mail dsl years able,0.6123057408562915
4077-cromm,1,0,1,1,0.4225352112676057,1,1,0,0,1,1,1,1,1,0.8552238805970148,0.3721036233556427,1,1,0,0,0,0,1,0,Neutral,-0.048261124753952,-1 internet service provider overall,0.0
2129-alkbs,1,0,1,1,0.5492957746478874,1,1,0,0,0,0,0,0,1,0.0791044776119402,0.1221670897761366,0,0,1,0,0,0,1,0,Positive,0.5746068289756775,Far mail monthtomonth flexibility,1.0
9360-omdzz,0,0,0,0,0.323943661971831,1,1,0,0,0,0,1,1,1,0.7547263681592039,0.2658723747980613,0,1,0,0,0,0,1,0,Very Positive,0.9069773698806762,-1 internet service provider overall,0.0
6840-resvb,0,0,1,1,0.323943661971831,1,1,1,0,1,1,1,1,1,0.6621890547263681,0.2275213477959843,0,0,0,1,0,0,0,1,Very Positive,0.9225838151454926,Providers reason consider dsl,0.9250301697221328
9633-xqabv,1,0,0,0,0.028169014084507,1,0,0,0,0,0,0,0,1,0.5174129353233831,0.0243364874221093,0,1,0,0,0,0,1,0,Very Positive,0.9050793300628662,Downtime connection excellent speed,0.833335466896533
7593-xfkdi,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.2791044776119402,0.0031733210246942,1,0,0,0,0,0,0,1,Very Negative,-0.916659682369232,Sign slow unreliable expectations,1.0
4213-hkbjo,1,0,0,0,0.4507042253521127,1,1,0,0,0,0,0,0,0,0.0741293532338308,0.0931571659358412,0,0,1,0,1,1,0,0,Very Positive,0.95270395693779,-1 internet service provider overall,0.0
2761-ociax,0,1,0,0,0.0140845070422535,1,0,0,1,0,0,0,0,1,0.5616915422885572,0.0169166858989153,1,1,0,0,0,0,1,0,Neutral,-0.0768229867458343,Sign one due cancel,0.6382599350136855
4939-kyypy,0,0,0,0,0.3661971830985915,1,1,0,0,1,1,0,0,0,0.4099502487562189,0.1838045234248788,0,0,0,0,0,0,1,0,Very Positive,0.9315845986366272,Electronic monthtomonth dsl continue,1.0
6425-yqllo,1,1,1,0,0.9154929577464788,1,1,0,0,1,1,1,1,1,0.872636815920398,0.802729056081237,1,1,0,1,0,1,0,0,Neutral,-0.041003751707077,Better deal decide ultimately,1.0
2812-enymo,0,0,0,0,0.352112676056338,0,0,1,0,0,1,1,1,0,0.3611940298507462,0.1550946226632817,0,0,0,1,0,1,0,0,Very Positive,0.8905750200748443,-1 internet service provider overall,0.0
8361-lbrdi,1,0,0,0,0.8028169014084507,1,1,0,0,0,0,0,0,0,0.0606965174129353,0.1621336256635125,0,0,1,0,1,1,0,0,Very Positive,0.9400705304145812,Though even card credit,0.8184606129210117
6661-hbgwl,1,1,0,0,0.5774647887323944,1,1,0,1,1,0,1,1,1,0.8606965174129354,0.4967285945072697,1,1,0,0,0,0,0,0,Neutral,-0.0576023574352264,Better deal decide ultimately,1.0
1697-nvvgy,0,1,1,0,0.2535211267605634,1,0,1,0,1,0,1,0,0,0.4791044776119403,0.1462324024924994,0,0,0,0,0,0,0,0,Very Positive,0.8044273133277893,Transfer bank dsl automatic,0.7670912634832379
6352-twcau,1,0,0,0,0.4788732394366197,1,1,0,0,0,0,1,0,1,0.6786069651741293,0.3473690283867989,1,1,0,0,0,0,1,0,Neutral,-0.1489553938865661,Deal better another decide,0.9643121579930468
2379-gyflq,0,0,0,0,0.6338028169014085,1,1,0,1,1,0,1,0,1,0.7626865671641792,0.5082102469420724,0,1,0,1,0,1,0,0,Very Positive,0.9798962162971496,-1 internet service provider overall,0.0
3482-abpkk,1,0,0,0,0.3802816901408451,1,0,1,0,0,1,0,0,0,0.3587064676616914,0.1762635587352873,0,0,0,1,0,0,0,1,Very Positive,0.9707436302661896,Loyal mail provide able,1.0
5197-lqxxh,1,0,1,0,0.9859154929577464,1,1,0,1,1,1,1,1,1,0.6472636815920397,0.6780175398107546,0,0,0,0,1,1,0,0,Very Positive,0.901812033367157,Card credit payments dsl,1.0
2717-hvizy,1,0,0,1,0.0985915492957746,1,0,0,0,0,0,0,0,0,0.017910447761194,0.0167089776136625,0,0,1,0,0,0,0,1,Very Positive,0.8214270263195038,Far mail monthtomonth flexibility,0.9640420232725052
8734-dkstz,1,0,1,1,0.1267605633802817,1,1,0,0,0,0,0,1,0,0.6736318407960199,0.0969074544195707,0,1,0,0,0,0,1,0,Very Positive,0.8256842093467712,Downtime consistently highly complaints,0.9155076248468984
3181-mizbn,0,0,1,1,0.2112676056338028,1,0,0,0,0,0,0,0,0,0.0149253731343283,0.0339949226863604,0,0,1,0,0,0,1,0,Very Positive,0.6366707365512848,Far mail monthtomonth flexibility,1.0
9355-nppfs,1,1,0,0,0.352112676056338,1,0,0,0,0,0,0,1,1,0.6024875621890546,0.2293214862681744,0,1,0,0,0,0,1,0,Very Positive,0.9045246148586272,Quality plan no receive,1.0
2485-itvkb,1,0,1,0,0.0140845070422535,0,0,0,0,0,0,0,1,1,0.1676616915422885,0.0057639049157627,1,0,0,0,0,0,1,0,Very Negative,-0.7855573494911194,Sign slow unreliable expectations,1.0
2842-bcqge,0,0,0,0,0.5915492957746479,1,1,0,0,0,0,0,0,1,0.5681592039800994,0.3626355873528733,0,1,0,0,0,1,0,0,Very Positive,0.870513030052185,Card credit quality fast,0.1707731923311446
